date,phc_id,patient_count,beds_occupied
2026-08-23,PHC001,44,2
2026-08-24,PHC001,78,4
2026-08-25,PHC001,71,4
2026-08-26,PHC001,73,4
2026-08-27,PHC001,64,3
2026-03-01,PHC002,61,3
2026-03-02,PHC002,110,6
2026-03-03,PHC002,75,4
2026-03-04,PHC002,88,5
2026-03-05,PHC002,81,4
2026-03-06,PHC002,71,4
2026-03-07,PHC002,70,4
2026-03-08,PHC002,59,3
2026-03-09,PHC002,86,5
2026-03-10,PHC002,78,4
2026-03-11,PHC002,96,5
2026-03-12,PHC002,68,4
2026-03-13,PHC002,73,4
2026-03-14,PHC002,85,5
2026-03-15,PHC002,56,3
2026-03-16,PHC002,91,5
2026-03-17,PHC002,79,4
2026-03-18,PHC002,91,5
2026-03-19,PHC002,85,5
2026-03-20,PHC002,82,4
2026-03-21,PHC002,82,4
2026-03-22,PHC002,58,3
2026-03-23,PHC002,98,5
2026-03-24,PHC002,92,5
2026-03-25,PHC002,99,5
2026-03-26,PHC002,84,5
2026-03-27,PHC002,84,5
2026-03-28,PHC002,75,4
2026-03-29,PHC002,53,3
2026-03-30,PHC002,113,6
2026-03-31,PHC002,96,5
2026-04-01,PHC002,86,5
2026-04-02,PHC002,84,5
2026-04-03,PHC002,78,4
2026-04-04,PHC002,99,5
2026-04-05,PHC002,67,4
2026-04-06,PHC002,95,5
2026-04-07,PHC002,76,4
2026-04-08,PHC002,88,5
2026-04-09,PHC002,65,3
2026-04-10,PHC002,85,5
2026-04-11,PHC002,86,5
2026-04-12,PHC002,56,3
2026-04-13,PHC002,102,6
2026-04-14,PHC002,78,4
2026-04-15,PHC002,85,5
2026-04-16,PHC002,87,5
2026-04-17,PHC002,84,5
2026-04-18,PHC002,96,5
2026-04-19,PHC002,60,3
2026-04-20,PHC002,103,6
2026-04-21,PHC002,87,5
2026-04-22,PHC002,76,4
2026-04-23,PHC002,87,5
2026-04-24,PHC002,77,4
2026-04-25,PHC002,80,4
2026-04-26,PHC002,63,3
2026-04-27,PHC002,81,4
2026-04-28,PHC002,86,5
2026-04-29,PHC002,68,4
2026-04-30,PHC002,80,4
2026-05-01,PHC002,88,5
2026-05-02,PHC002,77,4
2026-05-03,PHC002,53,3
2026-05-04,PHC002,110,6
2026-05-05,PHC002,81,4
2026-05-06,PHC002,74,4
2026-05-07,PHC002,84,5
2026-05-08,PHC002,88,5
2026-05-09,PHC002,85,5
2026-05-10,PHC002,59,3
2026-05-11,PHC002,103,6
2026-05-12,PHC002,95,5
2026-05-13,PHC002,76,4
2026-05-14,PHC002,79,4
2026-05-15,PHC002,82,4
2026-05-16,PHC002,76,4
2026-05-17,PHC002,54,3
2026-05-18,PHC002,93,5
2026-05-19,PHC002,73,4
2026-05-20,PHC002,83,4
2026-05-21,PHC002,84,5
2026-05-22,PHC002,79,4
2026-05-23,PHC002,72,4
2026-05-24,PHC002,50,3
2026-05-25,PHC002,101,6
2026-05-26,PHC002,76,4
2026-05-27,PHC002,76,4
2026-05-28,PHC002,65,3
2026-05-29,PHC002,81,4
2026-05-30,PHC002,74,4
2026-05-31,PHC002,53,3
2026-06-01,PHC002,87,5
2026-06-02,PHC002,73,4
2026-06-03,PHC002,71,4
2026-06-04,PHC002,69,4
2026-06-05,PHC002,63,3
2026-06-06,PHC002,82,4
2026-06-07,PHC002,51,3
2026-06-08,PHC002,91,5
2026-06-09,PHC002,78,4
2026-06-10,PHC002,73,4
2026-06-11,PHC002,75,4
2026-06-12,PHC002,82,4
2026-06-13,PHC002,80,4
2026-06-14,PHC002,48,2
2026-06-15,PHC002,90,5
2026-06-16,PHC002,67,4
2026-06-17,PHC002,66,3
2026-06-18,PHC002,70,4
2026-06-19,PHC002,68,4
2026-06-20,PHC002,65,3
2026-06-21,PHC002,44,2
2026-06-22,PHC002,104,6
2026-06-23,PHC002,77,4
2026-06-24,PHC002,67,4
2026-06-25,PHC002,62,3
2026-06-26,PHC002,69,4
2026-06-27,PHC002,70,4
2026-06-28,PHC002,42,2
2026-06-29,PHC002,88,5
2026-06-30,PHC002,73,4
2026-07-01,PHC002,71,4
2026-07-02,PHC002,67,4
2026-07-03,PHC002,74,4
2026-07-04,PHC002,72,4
2026-07-05,PHC002,44,2
2026-07-06,PHC002,85,5
2026-07-07,PHC002,70,4
2026-07-08,PHC002,67,4
2026-07-09,PHC002,66,3
2026-07-10,PHC002,62,3
2026-07-11,PHC002,64,3
2026-07-12,PHC002,48,2
2026-07-13,PHC002,93,5
2026-07-14,PHC002,72,4
2026-07-15,PHC002,72,4
2026-07-16,PHC002,71,4
2026-07-17,PHC002,67,4
2026-07-18,PHC002,62,3
2026-07-19,PHC002,53,3
2026-07-20,PHC002,86,5
2026-07-21,PHC002,70,4
2026-07-22,PHC002,73,4
2026-07-23,PHC002,70,4
2026-07-24,PHC002,64,3
2026-07-25,PHC002,72,4
2026-07-26,PHC002,47,2
2026-07-27,PHC002,85,5
2026-07-28,PHC002,64,3
2026-07-29,PHC002,67,4
2026-07-30,PHC002,70,4
2026-07-31,PHC002,71,4
2026-08-01,PHC002,78,4
2026-08-02,PHC002,53,3
2026-08-03,PHC002,88,5
2026-08-04,PHC002,76,4
2026-08-05,PHC002,67,4
2026-08-06,PHC002,69,4
2026-08-07,PHC002,66,3
2026-08-08,PHC002,70,4
2026-08-09,PHC002,42,2
2026-08-10,PHC002,86,5
2026-08-11,PHC002,69,4
2026-08-12,PHC002,75,4
2026-08-13,PHC002,64,3
2026-08-14,PHC002,79,4
2026-08-15,PHC002,73,4
2026-08-16,PHC002,47,2
2026-08-17,PHC002,100,6
2026-08-18,PHC002,77,4
2026-08-19,PHC002,79,4
2026-08-20,PHC002,75,4
2026-08-21,PHC002,75,4
2026-08-22,PHC002,83,4
2026-08-23,PHC002,59,3
2026-08-24,PHC002,84,5
2026-08-25,PHC002,73,4
2026-08-26,PHC002,76,4
2026-08-27,PHC002,66,3
2026-03-01,PHC003,56,3
2026-03-02,PHC003,105,6
2026-03-03,PHC003,72,4
2026-03-04,PHC003,76,4
2026-03-05,PHC003,70,4
2026-03-06,PHC003,81,4
2026-03-07,PHC003,82,4
2026-03-08,PHC003,58,3
2026-03-09,PHC003,118,6
2026-03-10,PHC003,74,4
2026-03-11,PHC003,76,4
2026-03-12,PHC003,81,4
2026-03-13,PHC003,94,5
2026-03-14,PHC003,74,4
2026-03-15,PHC003,60,3
2026-03-16,PHC003,103,6
2026-03-17,PHC003,86,5
2026-03-18,PHC003,68,4
2026-03-19,PHC003,89,5
2026-03-20,PHC003,81,4
2026-03-21,PHC003,83,4
2026-03-22,PHC003,63,3
2026-03-23,PHC003,103,6
2026-03-24,PHC003,75,4
2026-03-25,PHC003,81,4
2026-03-26,PHC003,93,5
2026-03-27,PHC003,85,5
2026-03-28,PHC003,77,4
2026-03-29,PHC003,75,4
2026-03-30,PHC003,94,5
2026-03-31,PHC003,88,5
2026-04-01,PHC003,84,5
2026-04-02,PHC003,91,5
2026-04-03,PHC003,79,4
2026-04-04,PHC003,87,5
2026-04-05,PHC003,57,3
2026-04-06,PHC003,107,6
2026-04-07,PHC003,94,5
2026-04-08,PHC003,91,5
2026-04-09,PHC003,85,5
2026-04-10,PHC003,76,4
2026-04-11,PHC003,84,5
2026-04-12,PHC003,58,3
2026-04-13,PHC003,84,5
2026-04-14,PHC003,89,5
2026-04-15,PHC003,89,5
2026-04-16,PHC003,84,5
2026-04-17,PHC003,77,4
2026-04-18,PHC003,84,5
2026-04-19,PHC003,54,3
2026-04-20,PHC003,106,6
2026-04-21,PHC003,90,5
2026-04-22,PHC003,76,4
2026-04-23,PHC003,88,5
2026-04-24,PHC003,83,4
2026-04-25,PHC003,80,4
2026-04-26,PHC003,68,4
2026-04-27,PHC003,105,6
2026-04-28,PHC003,95,5
2026-04-29,PHC003,83,4
2026-04-30,PHC003,78,4
2026-05-01,PHC003,91,5
2026-05-02,PHC003,80,4
2026-05-03,PHC003,58,3
2026-05-04,PHC003,115,6
2026-05-05,PHC003,87,5
2026-05-06,PHC003,92,5
2026-05-07,PHC003,77,4
2026-05-08,PHC003,82,4
2026-05-09,PHC003,92,5
2026-05-10,PHC003,55,3
2026-05-11,PHC003,101,6
2026-05-12,PHC003,82,4
2026-05-13,PHC003,86,5
2026-05-14,PHC003,81,4
2026-05-15,PHC003,96,5
2026-05-16,PHC003,79,4
2026-05-17,PHC003,61,3
2026-05-18,PHC003,98,5
2026-05-19,PHC003,87,5
2026-05-20,PHC003,77,4
2026-05-21,PHC003,70,4
2026-05-22,PHC003,85,5
2026-05-23,PHC003,88,5
2026-05-24,PHC003,55,3
2026-05-25,PHC003,87,5
2026-05-26,PHC003,84,5
2026-05-27,PHC003,76,4
2026-05-28,PHC003,77,4
2026-05-29,PHC003,84,5
2026-05-30,PHC003,79,4
2026-05-31,PHC003,57,3
2026-06-01,PHC003,94,5
2026-06-02,PHC003,77,4
2026-06-03,PHC003,83,4
2026-06-04,PHC003,75,4
2026-06-05,PHC003,79,4
2026-06-06,PHC003,78,4
2026-06-07,PHC003,56,3
2026-06-08,PHC003,96,5
2026-06-09,PHC003,76,4
2026-06-10,PHC003,85,5
2026-06-11,PHC003,77,4
2026-06-12,PHC003,76,4
2026-06-13,PHC003,65,3
2026-06-14,PHC003,49,2
2026-06-15,PHC003,109,6
2026-06-16,PHC003,81,4
2026-06-17,PHC003,72,4
2026-06-18,PHC003,75,4
2026-06-19,PHC003,69,4
2026-06-20,PHC003,68,4
2026-06-21,PHC003,47,2
2026-06-22,PHC003,86,5
2026-06-23,PHC003,67,4
2026-06-24,PHC003,76,4
2026-06-25,PHC003,73,4
2026-06-26,PHC003,78,4
2026-06-27,PHC003,73,4
2026-06-28,PHC003,51,3
2026-06-29,PHC003,91,5
2026-06-30,PHC003,76,4
2026-07-01,PHC003,66,3
2026-07-02,PHC003,76,4
2026-07-03,PHC003,71,4
2026-07-04,PHC003,59,3
2026-07-05,PHC003,49,2
2026-07-06,PHC003,73,4
2026-07-07,PHC003,64,3
2026-07-08,PHC003,56,3
2026-07-09,PHC003,63,3
2026-07-10,PHC003,68,4
2026-07-11,PHC003,65,3
2026-07-12,PHC003,52,3
2026-07-13,PHC003,85,5
2026-07-14,PHC003,67,4
2026-07-15,PHC003,68,4
2026-07-16,PHC003,71,4
2026-07-17,PHC003,63,3
2026-07-18,PHC003,77,4
2026-07-19,PHC003,53,3
2026-07-20,PHC003,80,4
2026-07-21,PHC003,68,4
2026-07-22,PHC003,161,6
2026-07-23,PHC003,139,6
2026-07-24,PHC003,131,6
2026-07-25,PHC003,168,6
2026-07-26,PHC003,106,6
2026-07-27,PHC003,192,6
2026-07-28,PHC003,152,6
2026-07-29,PHC003,172,6
2026-07-30,PHC003,61,3
2026-07-31,PHC003,69,4
2026-08-01,PHC003,67,4
2026-08-02,PHC003,44,2
2026-08-03,PHC003,76,4
2026-08-04,PHC003,66,3
2026-08-05,PHC003,74,4
2026-08-06,PHC003,84,5
2026-08-07,PHC003,76,4
2026-08-08,PHC003,73,4
2026-08-09,PHC003,52,3
2026-08-10,PHC003,92,5
2026-08-11,PHC003,78,4
2026-08-12,PHC003,76,4
2026-08-13,PHC003,78,4
2026-08-14,PHC003,72,4
2026-08-15,PHC003,74,4
2026-08-16,PHC003,50,3
2026-08-17,PHC003,92,5
2026-08-18,PHC003,84,5
2026-08-19,PHC003,72,4
2026-08-20,PHC003,89,5
2026-08-21,PHC003,89,5
2026-08-22,PHC003,80,4
2026-08-23,PHC003,56,3
2026-08-24,PHC003,103,6
2026-08-25,PHC003,83,4
2026-08-26,PHC003,69,4
2026-08-27,PHC003,73,4
2026-03-01,PHC004,50,3
2026-03-02,PHC004,86,4
2026-03-03,PHC004,73,4
2026-03-04,PHC004,60,3
2026-03-05,PHC004,66,3
2026-03-06,PHC004,71,4
2026-03-07,PHC004,72,4
2026-03-08,PHC004,55,3
2026-03-09,PHC004,89,4
2026-03-10,PHC004,85,4
2026-03-11,PHC004,66,3
2026-03-12,PHC004,86,4
2026-03-13,PHC004,70,4
2026-03-14,PHC004,69,4
2026-03-15,PHC004,50,3
2026-03-16,PHC004,90,4
2026-03-17,PHC004,74,4
2026-03-18,PHC004,74,4
2026-03-19,PHC004,79,4
2026-03-20,PHC004,82,4
2026-03-21,PHC004,70,4
2026-03-22,PHC004,59,3
2026-03-23,PHC004,99,4
2026-03-24,PHC004,78,4
2026-03-25,PHC004,83,4
2026-03-26,PHC004,77,4
2026-03-27,PHC004,87,4
2026-03-28,PHC004,71,4
2026-03-29,PHC004,60,3
2026-03-30,PHC004,95,4
2026-03-31,PHC004,83,4
2026-04-01,PHC004,76,4
2026-04-02,PHC004,90,4
2026-04-03,PHC004,82,4
2026-04-04,PHC004,84,4
2026-04-05,PHC004,51,3
2026-04-06,PHC004,87,4
2026-04-07,PHC004,81,4
2026-04-08,PHC004,89,4
2026-04-09,PHC004,81,4
2026-04-10,PHC004,70,4
2026-04-11,PHC004,91,4
2026-04-12,PHC004,53,3
2026-04-13,PHC004,106,4
2026-04-14,PHC004,74,4
2026-04-15,PHC004,75,4
2026-04-16,PHC004,82,4
2026-04-17,PHC004,63,3
2026-04-18,PHC004,73,4
2026-04-19,PHC004,54,3
2026-04-20,PHC004,96,4
2026-04-21,PHC004,69,4
2026-04-22,PHC004,86,4
2026-04-23,PHC004,78,4
2026-04-24,PHC004,78,4
2026-04-25,PHC004,67,4
2026-04-26,PHC004,55,3
2026-04-27,PHC004,104,4
2026-04-28,PHC004,84,4
2026-04-29,PHC004,82,4
2026-04-30,PHC004,78,4
2026-05-01,PHC004,77,4
2026-05-02,PHC004,79,4
2026-05-03,PHC004,57,3
2026-05-04,PHC004,96,4
2026-05-05,PHC004,76,4
2026-05-06,PHC004,80,4
2026-05-07,PHC004,167,4
2026-05-08,PHC004,174,4
2026-05-09,PHC004,172,4
2026-05-10,PHC004,110,4
2026-05-11,PHC004,237,4
2026-05-12,PHC004,177,4
2026-05-13,PHC004,156,4
2026-05-14,PHC004,155,4
2026-05-15,PHC004,160,4
2026-05-16,PHC004,72,4
2026-05-17,PHC004,48,2
2026-05-18,PHC004,95,4
2026-05-19,PHC004,73,4
2026-05-20,PHC004,69,4
2026-05-21,PHC004,83,4
2026-05-22,PHC004,72,4
2026-05-23,PHC004,76,4
2026-05-24,PHC004,46,2
2026-05-25,PHC004,83,4
2026-05-26,PHC004,67,4
2026-05-27,PHC004,78,4
2026-05-28,PHC004,77,4
2026-05-29,PHC004,71,4
2026-05-30,PHC004,70,4
2026-05-31,PHC004,51,3
2026-06-01,PHC004,83,4
2026-06-02,PHC004,70,4
2026-06-03,PHC004,76,4
2026-06-04,PHC004,65,3
2026-06-05,PHC004,74,4
2026-06-06,PHC004,69,4
2026-06-07,PHC004,49,2
2026-06-08,PHC004,86,4
2026-06-09,PHC004,74,4
2026-06-10,PHC004,74,4
2026-06-11,PHC004,72,4
2026-06-12,PHC004,60,3
2026-06-13,PHC004,69,4
2026-06-14,PHC004,52,3
2026-06-15,PHC004,78,4
2026-06-16,PHC004,59,3
2026-06-17,PHC004,66,3
2026-06-18,PHC004,72,4
2026-06-19,PHC004,60,3
2026-06-20,PHC004,69,4
2026-06-21,PHC004,46,2
2026-06-22,PHC004,83,4
2026-06-23,PHC004,69,4
2026-06-24,PHC004,65,3
2026-06-25,PHC004,63,3
2026-06-26,PHC004,67,4
2026-06-27,PHC004,74,4
2026-06-28,PHC004,48,2
2026-06-29,PHC004,87,4
2026-06-30,PHC004,61,3
2026-07-01,PHC004,63,3
2026-07-02,PHC004,58,3
2026-07-03,PHC004,70,4
2026-07-04,PHC004,70,4
2026-07-05,PHC004,47,2
2026-07-06,PHC004,86,4
2026-07-07,PHC004,63,3
2026-07-08,PHC004,63,3
2026-07-09,PHC004,71,4
2026-07-10,PHC004,63,3
2026-07-11,PHC004,70,4
2026-07-12,PHC004,51,3
2026-07-13,PHC004,74,4
2026-07-14,PHC004,60,3
2026-07-15,PHC004,73,4
2026-07-16,PHC004,70,4
2026-07-17,PHC004,161,4
2026-07-18,PHC004,162,4
2026-07-19,PHC004,98,4
2026-07-20,PHC004,208,4
2026-07-21,PHC004,159,4
2026-07-22,PHC004,156,4
2026-07-23,PHC004,148,4
2026-07-24,PHC004,63,3
2026-07-25,PHC004,61,3
2026-07-26,PHC004,40,2
2026-07-27,PHC004,77,4
2026-07-28,PHC004,62,3
2026-07-29,PHC004,67,4
2026-07-30,PHC004,62,3
2026-07-31,PHC004,57,3
2026-08-01,PHC004,67,4
2026-08-02,PHC004,39,2
2026-08-03,PHC004,81,4
2026-08-04,PHC004,70,4
2026-08-05,PHC004,59,3
2026-08-06,PHC004,61,3
2026-08-07,PHC004,67,4
2026-08-08,PHC004,75,4
2026-08-09,PHC004,47,2
2026-08-10,PHC004,82,4
2026-08-11,PHC004,69,4
2026-08-12,PHC004,59,3
2026-08-13,PHC004,60,3
2026-08-14,PHC004,72,4
2026-08-15,PHC004,73,4
2026-08-16,PHC004,51,3
2026-08-17,PHC004,88,4
2026-08-18,PHC004,72,4
2026-08-19,PHC004,60,3
2026-08-20,PHC004,64,3
2026-08-21,PHC004,68,4
2026-08-22,PHC004,76,4
2026-08-23,PHC004,50,3
2026-08-24,PHC004,89,4
2026-08-25,PHC004,65,3
2026-08-26,PHC004,72,4
2026-08-27,PHC004,74,4
2026-03-01,PHC005,47,2
2026-03-02,PHC005,92,4
2026-03-03,PHC005,72,4
2026-03-04,PHC005,64,3
2026-03-05,PHC005,73,4
2026-03-06,PHC005,66,3
2026-03-07,PHC005,71,4
2026-03-08,PHC005,51,3
2026-03-09,PHC005,93,4
2026-03-10,PHC005,64,3
2026-03-11,PHC005,71,4
2026-03-12,PHC005,64,3
2026-03-13,PHC005,69,4
2026-03-14,PHC005,68,4
2026-03-15,PHC005,52,3
2026-03-16,PHC005,101,4
2026-03-17,PHC005,87,4
2026-03-18,PHC005,83,4
2026-03-19,PHC005,71,4
2026-03-20,PHC005,72,4
2026-03-21,PHC005,83,4
2026-03-22,PHC005,59,3
2026-03-23,PHC005,92,4
2026-03-24,PHC005,72,4
2026-03-25,PHC005,80,4
2026-03-26,PHC005,71,4
2026-03-27,PHC005,72,4
2026-03-28,PHC005,75,4
2026-03-29,PHC005,52,3
2026-03-30,PHC005,89,4
2026-03-31,PHC005,79,4
2026-04-01,PHC005,79,4
2026-04-02,PHC005,73,4
2026-04-03,PHC005,77,4
2026-04-04,PHC005,66,3
2026-04-05,PHC005,60,3
2026-04-06,PHC005,91,4
2026-04-07,PHC005,77,4
2026-04-08,PHC005,75,4
2026-04-09,PHC005,79,4
2026-04-10,PHC005,79,4
2026-04-11,PHC005,75,4
2026-04-12,PHC005,53,3
2026-04-13,PHC005,107,4
2026-04-14,PHC005,79,4
2026-04-15,PHC005,85,4
2026-04-16,PHC005,69,4
2026-04-17,PHC005,89,4
2026-04-18,PHC005,80,4
2026-04-19,PHC005,54,3
2026-04-20,PHC005,89,4
2026-04-21,PHC005,78,4
2026-04-22,PHC005,81,4
2026-04-23,PHC005,73,4
2026-04-24,PHC005,86,4
2026-04-25,PHC005,76,4
2026-04-26,PHC005,55,3
2026-04-27,PHC005,108,4
2026-04-28,PHC005,63,3
2026-04-29,PHC005,77,4
2026-04-30,PHC005,72,4
2026-05-01,PHC005,80,4
2026-05-02,PHC005,71,4
2026-05-03,PHC005,57,3
2026-05-04,PHC005,94,4
2026-05-05,PHC005,73,4
2026-05-06,PHC005,87,4
2026-05-07,PHC005,69,4
2026-05-08,PHC005,76,4
2026-05-09,PHC005,66,3
2026-05-10,PHC005,46,2
2026-05-11,PHC005,78,4
2026-05-12,PHC005,81,4
2026-05-13,PHC005,72,4
2026-05-14,PHC005,71,4
2026-05-15,PHC005,72,4
2026-05-16,PHC005,68,4
2026-05-17,PHC005,51,3
2026-05-18,PHC005,91,4
2026-05-19,PHC005,75,4
2026-05-20,PHC005,74,4
2026-05-21,PHC005,68,4
2026-05-22,PHC005,74,4
2026-05-23,PHC005,74,4
2026-05-24,PHC005,47,2
2026-05-25,PHC005,78,4
2026-05-26,PHC005,77,4
2026-05-27,PHC005,75,4
2026-05-28,PHC005,69,4
2026-05-29,PHC005,65,3
2026-05-30,PHC005,79,4
2026-05-31,PHC005,52,3
2026-06-01,PHC005,80,4
2026-06-02,PHC005,76,4
2026-06-03,PHC005,56,3
2026-06-04,PHC005,74,4
2026-06-05,PHC005,74,4
2026-06-06,PHC005,70,4
2026-06-07,PHC005,43,2
2026-06-08,PHC005,79,4
2026-06-09,PHC005,67,4
2026-06-10,PHC005,66,3
2026-06-11,PHC005,59,3
2026-06-12,PHC005,64,3
2026-06-13,PHC005,66,3
2026-06-14,PHC005,46,2
2026-06-15,PHC005,79,4
2026-06-16,PHC005,74,4
2026-06-17,PHC005,70,4
2026-06-18,PHC005,61,3
2026-06-19,PHC005,63,3
2026-06-20,PHC005,62,3
2026-06-21,PHC005,40,2
2026-06-22,PHC005,69,4
2026-06-23,PHC005,59,3
2026-06-24,PHC005,71,4
2026-06-25,PHC005,67,4
2026-06-26,PHC005,74,4
2026-06-27,PHC005,70,4
2026-06-28,PHC005,49,2
2026-06-29,PHC005,65,3
2026-06-30,PHC005,66,3
2026-07-01,PHC005,69,4
2026-07-02,PHC005,67,4
2026-07-03,PHC005,65,3
2026-07-04,PHC005,59,3
2026-07-05,PHC005,42,2
2026-07-06,PHC005,94,4
2026-07-07,PHC005,74,4
2026-07-08,PHC005,63,3
2026-07-09,PHC005,55,3
2026-07-10,PHC005,56,3
2026-07-11,PHC005,61,3
2026-07-12,PHC005,42,2
2026-07-13,PHC005,70,4
2026-07-14,PHC005,57,3
2026-07-15,PHC005,60,3
2026-07-16,PHC005,54,3
2026-07-17,PHC005,73,4
2026-07-18,PHC005,62,3
2026-07-19,PHC005,53,3
2026-07-20,PHC005,75,4
2026-07-21,PHC005,68,4
2026-07-22,PHC005,66,3
2026-07-23,PHC005,60,3
2026-07-24,PHC005,61,3
2026-07-25,PHC005,61,3
2026-07-26,PHC005,45,2
2026-07-27,PHC005,77,4
2026-07-28,PHC005,66,3
2026-07-29,PHC005,60,3
2026-07-30,PHC005,61,3
