date,phc_id,medicine_id,stock,minimum_stock,maximum_stock
2026-04-19,PHC001,MED004,22,14,98
2026-04-20,PHC001,MED004,18,14,98
2026-04-21,PHC001,MED004,15,14,98
2026-04-22,PHC001,MED004,12,14,98
2026-04-23,PHC001,MED004,9,14,98
2026-04-24,PHC001,MED004,6,14,98
2026-04-25,PHC001,MED004,3,14,98
2026-04-26,PHC001,MED004,1,14,98
2026-04-27,PHC001,MED004,84,14,98
2026-04-28,PHC001,MED004,81,14,98
2026-04-29,PHC001,MED004,78,14,98
2026-04-30,PHC001,MED004,76,14,98
2026-05-01,PHC001,MED004,73,14,98
2026-05-02,PHC001,MED004,70,14,98
2026-05-03,PHC001,MED004,68,14,98
2026-05-04,PHC001,MED004,64,14,98
2026-05-05,PHC001,MED004,61,14,98
2026-05-06,PHC001,MED004,59,14,98
2026-05-07,PHC001,MED004,57,14,98
2026-05-08,PHC001,MED004,54,14,98
2026-05-09,PHC001,MED004,52,14,98
2026-05-10,PHC001,MED004,50,14,98
2026-05-11,PHC001,MED004,46,14,98
2026-05-12,PHC001,MED004,45,14,98
2026-05-13,PHC001,MED004,42,14,98
2026-05-14,PHC001,MED004,40,14,98
2026-05-15,PHC001,MED004,37,14,98
2026-05-16,PHC001,MED004,35,14,98
2026-05-17,PHC001,MED004,33,14,98
2026-05-18,PHC001,MED004,30,14,98
2026-05-19,PHC001,MED004,28,14,98
2026-05-20,PHC001,MED004,26,14,98
2026-05-21,PHC001,MED004,24,14,98
2026-05-22,PHC001,MED004,22,14,98
